t,Omega1,Omega2,Omega3,Omega4
0,8002.3105386605,8002.3105386605,8002.3105386605,8002.3105386605
0.200000635147186,8002.3105386605,8002.3105386605,8002.3105386605,8002.3105386605
0.400001270294373,8002.3105386605,8002.3105386605,8002.3105386605,8002.3105386605
0.600001905441559,8002.3105386605,8002.3105386605,8002.3105386605,8002.3105386605
0.800002540588746,8002.3105386605,8002.3105386605,8002.3105386605,8002.3105386605
1.00000317573593,8002.3105386605,8002.3105386605,8002.3105386605,8002.3105386605
1.20000381088312,8002.3105386605,8002.3105386605,8002.3105386605,8002.3105386605
1.40000444603031,8002.3105386605,8002.3105386605,8002.3105386605,8002.3105386605
1.60000508117749,8002.3105386605,8002.3105386605,8002.3105386605,8002.3105386605
1.80000571632468,8002.3105386605,8002.3105386605,8002.3105386605,8002.3105386605
2.00000635147186,8002.3105386605,8002.3105386605,8002.3105386605,8002.3105386605
2.20000698661905,8002.3105386605,8002.3105386605,8002.3105386605,8002.3105386605
2.40000762176624,8002.3105386605,8002.3105386605,8002.3105386605,8002.3105386605
2.60000825691342,8002.3105386605,8002.3105386605,8002.3105386605,8002.3105386605
2.80000889206061,8002.3105386605,8002.3105386605,8002.3105386605,8002.3105386605
3.0000095272078,8002.3105386605,8002.3105386605,8002.3105386605,8002.3105386605
3.20001016235498,8002.3105386605,8002.3105386605,8002.3105386605,8002.3105386605
3.40001079750217,8002.3105386605,8002.3105386605,8002.3105386605,8002.3105386605
3.60001143264936,8002.3105386605,8002.3105386605,8002.3105386605,8002.3105386605
3.80001206779654,8002.3105386605,8002.3105386605,8002.3105386605,8002.3105386605
4.00001270294373,8002.3105386605,8002.3105386605,8002.3105386605,8002.3105386605
4.20001333809092,8002.3105386605,8002.3105386605,8002.3105386605,8002.3105386605
4.4000139732381,8002.3105386605,8002.3105386605,8002.3105386605,8002.3105386605
4.60001460838529,8002.3105386605,8002.3105386605,8002.3105386605,8002.3105386605
4.80001524353248,8002.3105386605,8002.3105386605,8002.3105386605,8002.3105386605
5.00001587867966,8002.3105386605,8002.3105386605,8002.3105386605,8002.3105386605
5.20001651382685,8002.3105386605,8002.3105386605,8002.3105386605,8002.3105386605
5.40001714897403,8002.3105386605,8002.3105386605,8002.3105386605,8002.3105386605
5.60001778412122,8002.3105386605,8002.3105386605,8002.3105386605,8002.3105386605
5.80001841926841,8002.3105386605,8002.3105386605,8002.3105386605,8002.3105386605
6.00001905441559,8002.3105386605,8002.3105386605,8002.3105386605,8002.3105386605
6.20001968956278,8002.3105386605,8002.3105386605,8002.3105386605,8002.3105386605
6.40002032470997,8002.3105386605,8002.3105386605,8002.3105386605,8002.3105386605
6.60002095985715,8002.3105386605,8002.3105386605,8002.3105386605,8002.3105386605
6.80002159500434,8002.3105386605,8002.3105386605,8002.3105386605,8002.3105386605
7.00002223015153,8002.3105386605,8002.3105386605,8002.3105386605,8002.3105386605
7.20002286529871,8002.3105386605,8002.3105386605,8002.3105386605,8002.3105386605
7.4000235004459,8002.3105386605,8002.3105386605,8002.3105386605,8002.3105386605
7.60002413559309,8002.3105386605,8002.3105386605,8002.3105386605,8002.3105386605
7.80002477074027,8002.3105386605,8002.3105386605,8002.3105386605,8002.3105386605
8.00002540588746,8002.3105386605,8002.3105386605,8002.3105386605,8002.3105386605
8.20002604103465,8002.3105386605,8002.3105386605,8002.3105386605,8002.3105386605
8.40002667618183,8002.3105386605,8002.3105386605,8002.3105386605,8002.3105386605
8.60002731132902,8002.3105386605,8002.3105386605,8002.3105386605,8002.3105386605
8.8000279464762,8002.3105386605,8002.3105386605,8002.3105386605,8002.3105386605
9.00002858162339,8002.3105386605,8002.3105386605,8002.3105386605,8002.3105386605
9.20002921677058,8002.3105386605,8002.3105386605,8002.3105386605,8002.3105386605
9.40002985191776,8002.3105386605,8002.3105386605,8002.3105386605,8002.3105386605
9.60003048706495,8002.3105386605,8002.3105386605,8002.3105386605,8002.3105386605
9.80003112221214,8002.3105386605,8002.3105386605,8002.3105386605,8002.3105386605
10.0000317573593,8002.3105386605,8002.3105386605,8002.3105386605,8002.3105386605
